Local time,Open,High,Low,Close,Volume
30.10.2018 13:25:00.000 GMT+0530,76.956,76.975,76.885,76.900,0.0051
30.10.2018 13:30:00.000 GMT+0530,76.891,76.970,76.875,76.891,0.0098
30.10.2018 13:35:00.000 GMT+0530,76.886,76.911,76.845,76.895,0.0066
30.10.2018 13:40:00.000 GMT+0530,76.900,76.966,76.880,76.935,0.007099999999999999
30.10.2018 13:45:00.000 GMT+0530,76.940,77.015,76.900,77.000,0.008499999999999999
30.10.2018 13:50:00.000 GMT+0530,77.000,77.170,76.946,77.141,0.0162
30.10.2018 13:55:00.000 GMT+0530,77.135,77.226,77.105,77.105,0.0249
30.10.2018 14:00:00.000 GMT+0530,77.100,77.250,77.070,77.185,0.011099999999999999
30.10.2018 14:05:00.000 GMT+0530,77.190,77.250,77.160,77.230,0.0055
30.10.2018 14:10:00.000 GMT+0530,77.236,77.236,77.105,77.110,0.0107
30.10.2018 14:15:00.000 GMT+0530,77.110,77.131,76.986,77.100,0.0098
30.10.2018 14:20:00.000 GMT+0530,77.090,77.121,77.045,77.090,0.0072
30.10.2018 14:25:00.000 GMT+0530,77.081,77.130,77.035,77.120,0.0048000000000000004
30.10.2018 14:30:00.000 GMT+0530,77.120,77.165,77.035,77.084,0.0098
30.10.2018 14:35:00.000 GMT+0530,77.085,77.110,76.955,77.010,0.0077
30.10.2018 14:40:00.000 GMT+0530,76.996,77.010,76.904,76.919,0.01
30.10.2018 14:45:00.000 GMT+0530,76.929,76.930,76.839,76.877,0.004
30.10.2018 14:50:00.000 GMT+0530,76.857,76.913,76.848,76.865,0.026199999999999998
30.10.2018 14:55:00.000 GMT+0530,76.855,76.915,76.855,76.865,0.0167
30.10.2018 15:00:00.000 GMT+0530,76.875,76.935,76.865,76.935,0.016200000000000003
30.10.2018 15:05:00.000 GMT+0530,76.920,76.995,76.900,76.935,0.0196
30.10.2018 15:10:00.000 GMT+0530,76.945,76.985,76.930,76.930,0.009500000000000001
30.10.2018 15:15:00.000 GMT+0530,76.935,76.935,76.930,76.930,0.0001
30.10.2018 15:20:00.000 GMT+0530,76.930,76.975,76.930,76.935,0.009300000000000001
30.10.2018 15:25:00.000 GMT+0530,76.945,76.965,76.930,76.955,0.014
30.10.2018 15:30:00.000 GMT+0530,76.950,76.950,76.645,76.645,0.0353
30.10.2018 15:35:00.000 GMT+0530,76.655,76.745,76.615,76.705,0.0231
30.10.2018 15:40:00.000 GMT+0530,76.700,76.705,76.635,76.670,0.0204
30.10.2018 15:45:00.000 GMT+0530,76.665,76.775,76.615,76.740,0.022899999999999997
30.10.2018 15:50:00.000 GMT+0530,76.745,76.790,76.715,76.775,0.025599999999999998
30.10.2018 15:55:00.000 GMT+0530,76.780,76.785,76.625,76.685,0.0238
30.10.2018 16:00:00.000 GMT+0530,76.675,76.745,76.665,76.665,0.013399999999999999
30.10.2018 16:05:00.000 GMT+0530,76.665,76.665,76.555,76.595,0.0168
30.10.2018 16:10:00.000 GMT+0530,76.580,76.715,76.565,76.710,0.0204
30.10.2018 16:15:00.000 GMT+0530,76.715,76.745,76.630,76.740,0.02
30.10.2018 16:20:00.000 GMT+0530,76.735,76.785,76.705,76.765,0.0073999999999999995
30.10.2018 16:25:00.000 GMT+0530,76.765,76.790,76.745,76.785,0.009
30.10.2018 16:30:00.000 GMT+0530,76.775,76.825,76.775,76.815,0.0097
30.10.2018 16:35:00.000 GMT+0530,76.815,76.815,76.745,76.765,0.0134
30.10.2018 16:40:00.000 GMT+0530,76.760,76.855,76.755,76.855,0.0101
30.10.2018 16:45:00.000 GMT+0530,76.845,76.855,76.715,76.795,0.019
30.10.2018 16:50:00.000 GMT+0530,76.790,76.905,76.765,76.835,0.020499999999999997
30.10.2018 16:55:00.000 GMT+0530,76.825,76.825,76.715,76.775,0.0135
30.10.2018 17:00:00.000 GMT+0530,76.775,76.815,76.655,76.685,0.023100000000000002
30.10.2018 17:05:00.000 GMT+0530,76.675,76.695,76.605,76.605,0.0123
30.10.2018 17:10:00.000 GMT+0530,76.615,76.645,76.585,76.625,0.016300000000000002
30.10.2018 17:15:00.000 GMT+0530,76.625,76.625,76.430,76.535,0.02
30.10.2018 17:20:00.000 GMT+0530,76.545,76.545,76.385,76.445,0.0252
30.10.2018 17:25:00.000 GMT+0530,76.435,76.465,76.315,76.365,0.0203
30.10.2018 17:30:00.000 GMT+0530,76.365,76.445,76.265,76.415,0.0227
30.10.2018 17:35:00.000 GMT+0530,76.410,76.425,76.265,76.325,0.035300000000000005
30.10.2018 17:40:00.000 GMT+0530,76.315,76.315,76.165,76.245,0.0288
30.10.2018 17:45:00.000 GMT+0530,76.250,76.325,76.195,76.295,0.0286
30.10.2018 17:50:00.000 GMT+0530,76.295,76.295,76.120,76.155,0.0249
30.10.2018 17:55:00.000 GMT+0530,76.150,76.175,76.100,76.145,0.025299999999999996
30.10.2018 18:00:00.000 GMT+0530,76.135,76.175,76.045,76.135,0.0301
30.10.2018 18:05:00.000 GMT+0530,76.145,76.145,75.995,76.005,0.022899999999999997
30.10.2018 18:10:00.000 GMT+0530,76.005,76.065,75.850,76.050,0.044399999999999995
30.10.2018 18:15:00.000 GMT+0530,76.055,76.055,75.960,76.015,0.017099999999999997
30.10.2018 18:20:00.000 GMT+0530,76.005,76.075,75.925,75.965,0.026299999999999997
30.10.2018 18:25:00.000 GMT+0530,75.955,75.995,75.885,75.995,0.0259
30.10.2018 18:30:00.000 GMT+0530,75.985,75.985,75.735,75.765,0.0587
30.10.2018 18:35:00.000 GMT+0530,75.750,75.755,75.435,75.445,0.06709999999999999
30.10.2018 18:40:00.000 GMT+0530,75.445,75.445,75.335,75.335,0.0448
30.10.2018 18:45:00.000 GMT+0530,75.330,75.455,75.075,75.445,0.059
30.10.2018 18:50:00.000 GMT+0530,75.430,75.535,75.375,75.415,0.049
30.10.2018 18:55:00.000 GMT+0530,75.425,75.445,75.275,75.295,0.024600000000000004
30.10.2018 19:00:00.000 GMT+0530,75.300,75.500,75.145,75.455,0.0698
30.10.2018 19:05:00.000 GMT+0530,75.455,75.465,75.330,75.460,0.0552
30.10.2018 19:10:00.000 GMT+0530,75.465,75.555,75.430,75.490,0.037899999999999996
30.10.2018 19:15:00.000 GMT+0530,75.480,75.545,75.455,75.545,0.0325
30.10.2018 19:20:00.000 GMT+0530,75.540,75.570,75.445,75.505,0.0476
30.10.2018 19:25:00.000 GMT+0530,75.495,75.525,75.335,75.525,0.044
30.10.2018 19:30:00.000 GMT+0530,75.515,75.555,75.350,75.445,0.0664
30.10.2018 19:35:00.000 GMT+0530,75.430,75.585,75.395,75.565,0.0396
30.10.2018 19:40:00.000 GMT+0530,75.575,75.645,75.505,75.645,0.042199999999999994
30.10.2018 19:45:00.000 GMT+0530,75.640,75.735,75.595,75.655,0.0391
30.10.2018 19:50:00.000 GMT+0530,75.655,75.735,75.570,75.665,0.0382
30.10.2018 19:55:00.000 GMT+0530,75.660,75.685,75.510,75.635,0.0436
30.10.2018 20:00:00.000 GMT+0530,75.635,75.695,75.535,75.615,0.032600000000000004
30.10.2018 20:05:00.000 GMT+0530,75.625,75.625,75.515,75.535,0.034999999999999996
30.10.2018 20:10:00.000 GMT+0530,75.530,75.585,75.475,75.495,0.032600000000000004
30.10.2018 20:15:00.000 GMT+0530,75.485,75.645,75.475,75.610,0.0387
30.10.2018 20:20:00.000 GMT+0530,75.625,75.875,75.615,75.825,0.045200000000000004
30.10.2018 20:25:00.000 GMT+0530,75.835,76.100,75.765,76.055,0.0859
30.10.2018 20:30:00.000 GMT+0530,76.060,76.075,75.900,76.065,0.051000000000000004
30.10.2018 20:35:00.000 GMT+0530,76.055,76.085,75.905,75.945,0.040999999999999995
30.10.2018 20:40:00.000 GMT+0530,75.935,75.960,75.795,75.955,0.032299999999999995
30.10.2018 20:45:00.000 GMT+0530,75.950,76.065,75.910,76.060,0.0424
30.10.2018 20:50:00.000 GMT+0530,76.070,76.315,76.045,76.215,0.0568
30.10.2018 20:55:00.000 GMT+0530,76.210,76.320,76.175,76.280,0.043199999999999995
30.10.2018 21:00:00.000 GMT+0530,76.285,76.360,76.240,76.300,0.0534
